"name","recibidas","atendidas","abandonados","transferencias","constestadas","constestadas_10","constestadas_15","constestadas_20","abandonadas_10","abandonadas_15","abandonadas_20","min_espera","duracion","answ","unansw","avgw","avgt","ro10","ro15","ro20","ns10","ns15","ns20","avh210","avh215","avh220"
"00:00 - 00:30","5","5","","","5","5","5","5","","","","00:00:05","00:17:32","100","","00:00:01","00:03:30","100","100","100","100","100","100","100","100","100"
"00:30 - 01:00","6","2","4","","2","1","1","1","4","4","4","00:01:32","00:27:28","33.33","66.67","00:00:15","00:13:44","83.33","83.33","83.33","16.67","16.67","16.67","50","50","50"
"01:00 - 01:30","1","1","","","1","1","1","1","","","","00:00:01","00:10:28","100","","00:00:01","00:10:28","100","100","100","100","100","100","100","100","100"
"01:30 - 02:00","1","1","","","1","1","1","1","","","","00:00:01","00:06:08","100","","00:00:01","00:06:08","100","100","100","100","100","100","100","100","100"
"02:00 - 02:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"02:30 - 03:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"03:00 - 03:30","2","2","","","2","2","2","2","","","","00:00:03","00:11:53","100","","00:00:01","00:05:56","100","100","100","100","100","100","100","100","100"
"03:30 - 04:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"04:00 - 04:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"04:30 - 05:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"05:00 - 05:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"05:30 - 06:00","6","4","2","","4","2","3","3","2","2","2","00:01:29","00:16:15","66.67","33.33","00:00:14","00:04:03","66.67","83.33","83.33","33.33","50","50","50","75","75"
"06:00 - 06:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"06:30 - 07:00","3","2","1","","2","2","2","2","1","1","1","00:00:04","00:12:46","66.67","33.33","00:00:01","00:06:23","100","100","100","66.67","66.67","66.67","100","100","100"
"07:00 - 07:30","4","4","","","4","4","4","4","","","","00:00:06","00:35:24","100","","00:00:01","00:08:51","100","100","100","100","100","100","100","100","100"
"07:30 - 08:00","8","8","","","8","8","8","8","","","","00:00:14","00:37:39","100","","00:00:01","00:04:42","100","100","100","100","100","100","100","100","100"
"08:00 - 08:30","20","20","","","20","18","18","19","","","","00:01:19","02:40:05","100","","00:00:03","00:08:00","90","90","95","90","90","95","90","90","95"
"08:30 - 09:00","27","27","","","27","27","27","27","","","","00:00:42","02:54:35","100","","00:00:01","00:06:27","100","100","100","100","100","100","100","100","100"
"09:00 - 09:30","45","42","3","","42","26","27","27","3","3","3","00:17:05","04:51:04","93.33","6.67","00:00:22","00:06:55","64.44","66.67","66.67","57.78","60","60","61.9","64.29","64.29"
"09:30 - 10:00","38","38","","","38","33","33","34","","","","00:04:58","03:22:04","100","","00:00:07","00:05:19","86.84","86.84","89.47","86.84","86.84","89.47","86.84","86.84","89.47"
"10:00 - 10:30","50","40","10","","40","30","31","32","10","10","10","00:07:35","05:05:07","80","20","00:00:09","00:07:37","80","82","84","60","62","64","75","77.5","80"
"10:30 - 11:00","46","45","1","","45","45","45","45","1","1","1","00:01:20","03:46:54","97.83","2.17","00:00:01","00:05:02","100","100","100","97.83","97.83","97.83","100","100","100"
"11:00 - 11:30","30","29","","1","30","30","30","30","","","","00:00:46","02:14:17","96.67","","00:00:01","00:04:28","100","100","100","100","100","100","100","100","100"
"11:30 - 12:00","42","42","","","42","42","42","42","","","","00:01:12","04:21:49","100","","00:00:01","00:06:14","100","100","100","100","100","100","100","100","100"
"12:00 - 12:30","36","36","","","36","36","36","36","","","","00:01:05","02:45:26","100","","00:00:01","00:04:35","100","100","100","100","100","100","100","100","100"
"12:30 - 13:00","13","13","","","13","13","13","13","","","","00:00:21","00:27:39","100","","00:00:01","00:02:07","100","100","100","100","100","100","100","100","100"
"13:00 - 13:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"13:30 - 14:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"14:00 - 14:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"14:30 - 15:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"15:00 - 15:30","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
"15:30 - 16:00","","","","","","","","","","","","00:00:00","00:00:00","","","00:00:00","00:00:00","","","","","","","","",""
